						Earth VS Aliens War Report

Td			ID   				Tj				Df				Dd				Db
945			2618   				71				446				428				874
945			2835   				95				343				507				850
947			2809   				92				106				749				855
948			2840   				96				102				750				852
948			2699   				81				11				856				867
949			537   				57				871				21				892
949			2772   				88				333				528				861
949			2342   				44				14				891				905
950			2461   				57				245				648				893
950			2705   				81				256				613				869
951			2176   				19				133				799				932
951			2999   				113				396				442				838
955			2733   				84				42				829				871
958			2867   				98				315				545				860
958			2807   				92				145				721				866
959			2355   				45				6				908				914
960			2690   				78				235				647				882
960			2833   				95				59				806				865
961			2899   				100				286				575				861
962			2255   				31				16				915				931
965			535   				57				883				25				908
965			2965   				110				381				474				855
965			2883   				99				594				272				866
966			2768   				88				208				670				878
967			2804   				92				158				717				875
968			2155   				17				243				708				951
972			2933   				103				494				375				869
973			2370   				47				19				907				926
976			534   				57				899				20				919
976			2308   				41				281				654				935
976			2471   				58				53				865				918
977			2674   				77				35				865				900
977			2328   				43				190				744				934
980			2821   				94				80				806				886
982			2434   				55				33				894				927
982			2580   				68				206				708				914
982			527   				55				0				927				927
983			2794   				91				298				594				892
984			2600   				70				195				719				914
984			2459   				57				41				886				927
985			2086   				12				305				668				973
986			2819   				94				636				256				892
987			2566   				67				470				450				920
988			2928   				103				115				770				885
988			2120   				15				0				973				973
989			2550   				64				538				387				925
989			2393   				49				4				936				940
990			532   				57				910				23				933
990			2556   				65				149				776				925
992			2911   				101				61				830				891
994			2545   				64				157				773				930
995			2520   				62				613				320				933
996			2789   				89				115				792				907
996			2400   				51				158				787				945
997			2822   				94				209				694				903
999			2888   				100				64				835				899
1000			2536   				63				467				470				937
1001			2073   				11				171				819				990
1004			523   				55				928				21				949
1004			2814   				92				93				819				912
1005			2413   				52				34				919				953
1005			2138   				16				168				821				989
1006			2380   				48				72				886				958
1006			2014   				5				5				996				1001
1006			2700   				81				96				829				925
1008			2969   				110				15				883				898
1008			2897   				100				458				450				908
1012			2494   				60				197				755				952
1014			2041   				8				288				718				1006
1015			521   				55				940				20				960
1015			2293   				38				263				714				977
1015			2374   				48				230				737				967
1016			2975   				111				49				856				905
1017			2766   				87				386				544				930
1017			2499   				60				431				526				957
1019			2256   				31				49				939				988
1020			2246   				30				2				988				990
1020			2681   				77				678				265				943
1021			2318   				42				136				843				979
1021			2435   				55				20				946				966
1022			2457   				57				257				708				965
1024			2128   				15				470				539				1009
1024			2787   				89				39				896				935
1027			2838   				95				138				794				932
1027			2019   				5				6				1016				1022
1028			2951   				109				14				905				919
1028			2712   				82				1				945				946
1029			2522   				62				0				967				967
1030			2575   				67				60				903				963
1030			2177   				19				253				758				1011
1031			2613   				71				472				488				960
1031			2040   				8				23				1000				1023
1032			2211   				24				238				770				1008
1033			2443   				55				16				962				978
1034			2310   				41				398				595				993
1036			519   				55				951				30				981
1036			2574   				67				344				625				969
1036			2541   				64				324				648				972
1037			2349   				45				7				985				992
1038			2786   				89				15				934				949
1038			2983   				111				111				816				927
1040			2540   				64				534				442				976
1041			2598   				69				172				800				972
1042			2238   				29				11				1002				1013
1043			2874   				98				185				760				945
1044			2957   				109				699				236				935
1045			2676   				77				115				853				968
1045			2447   				56				285				704				989
1047			2658   				75				337				635				972
1048			518   				55				972				21				993
1048			2388   				49				99				900				999
1048			2529   				63				444				541				985
1049			2487   				59				259				731				990
1050			2523   				62				113				875				988
1051			2994   				112				801				138				939
1058			517   				55				984				19				1003
1094			2004   				4				1				1089				1090
1102			2005   				4				2				1096				1098
1143			2007   				4				2				1137				1139
1144			2024   				7				7				1130				1137
1251			2008   				4				3				1244				1247
1252			2010   				4				3				1245				1248
1341			2047   				8				12				1321				1333
1412			2048   				9				13				1390				1403
1474			2002   				4				0				1470				1470
1483			2012   				5				4				1474				1478
1624			2020   				5				6				1613				1619
1635			2090   				12				28				1595				1623
1636			2091   				12				28				1596				1624
1655			2021   				5				7				1643				1650
1663			2003   				4				1				1658				1659
1747			2126   				15				40				1692				1732
1758			2130   				15				41				1702				1743
1814			2033   				7				9				1798				1807
1880			2036   				8				10				1862				1872
1911			2038   				8				11				1892				1903
1961			2011   				4				4				1953				1957
2009			2050   				9				14				1986				2000
2019			2053   				9				14				1996				2010
2022			2207   				24				66				1932				1998
2048			2056   				9				16				2023				2039
2115			2224   				28				74				2013				2087
2116			2225   				28				74				2014				2088
2126			2060   				10				18				2098				2116
2141			2237   				29				79				2033				2112
2174			2065   				10				20				2144				2164
2175			2067   				10				20				2145				2165
2187			2068   				10				21				2156				2177
2189			2071   				10				22				2157				2179
2191			2267   				33				86				2072				2158
2195			2017   				5				5				2185				2190
2197			2076   				11				23				2163				2186
2206			2078   				11				24				2171				2195
2216			2084   				12				26				2178				2204
2217			2085   				12				26				2179				2205
2265			2102   				13				33				2219				2252
2266			2103   				13				33				2220				2253
2338			2026   				7				8				2323				2331
2355			2133   				16				42				2297				2339
2372			2498   				60				149				2163				2312
2392			2029   				7				9				2376				2385
2399			2145   				17				46				2336				2382
2406			2148   				17				47				2342				2389
2427			2156   				18				50				2359				2409
2436			2161   				18				51				2367				2418
2457			2167   				18				53				2386				2439
2477			2172   				19				55				2403				2458
2487			2179   				19				56				2412				2468
2497			2042   				8				11				2478				2489
2498			2043   				8				12				2478				2490
2517			2183   				21				57				2439				2496
2518			2184   				21				58				2439				2497
2546			2193   				22				61				2463				2524
2602			2208   				24				67				2511				2578
2603			2210   				24				67				2512				2579
2619			2055   				9				15				2595				2610
2624			2057   				9				16				2599				2615
2625			2058   				9				17				2599				2616
2632			2059   				9				17				2606				2623
2650			2219   				28				70				2552				2622
2651			2220   				28				70				2553				2623
2696			2228   				29				77				2590				2667
2697			2231   				29				77				2591				2668
2709			2062   				10				19				2680				2699
2725			2243   				30				80				2615				2695
2744			2252   				31				82				2631				2713
2745			2253   				31				82				2632				2714
2751			2263   				31				85				2635				2720
2753			2264   				33				86				2634				2720
2757			2072   				11				22				2724				2746
2766			2079   				11				24				2731				2755
2776			2088   				12				27				2737				2764
2779			2304   				41				97				2641				2738
2780			2305   				41				97				2642				2739
2782			2311   				41				99				2642				2741
2796			2326   				43				106				2647				2753
2801			2335   				43				109				2649				2758
2802			2096   				13				30				2759				2789
2808			2343   				44				115				2649				2764
2809			2344   				44				117				2648				2765
2813			2097   				13				31				2769				2800
2815			2350   				45				119				2651				2770
2816			2351   				45				119				2652				2771
2819			2358   				45				121				2653				2774
2826			2372   				48				122				2656				2778
2829			2377   				48				123				2658				2781
2839			2391   				49				126				2664				2790
2840			2392   				49				126				2665				2791
2860			2416   				52				128				2680				2808
2862			2418   				52				129				2681				2810
2863			2117   				14				38				2811				2849
2864			2119   				14				38				2812				2850
2873			2121   				15				39				2819				2858
2874			2125   				15				39				2820				2859
2878			2437   				55				134				2689				2823
2881			2441   				55				135				2691				2826
2883			2129   				15				40				2828				2868
2894			2458   				57				140				2697				2837
2901			2028   				7				8				2886				2894
2902			2132   				16				41				2845				2886
2909			2134   				16				42				2851				2893
2913			2484   				59				146				2708				2854
2924			2497   				60				149				2715				2864
2933			2510   				61				153				2719				2872
2938			2143   				16				45				2877				2922
2945			2533   				63				157				2725				2882
2946			2535   				63				157				2726				2883
2948			2539   				63				158				2727				2885
2949			2144   				17				46				2886				2932
2962			2152   				17				49				2896				2945
2963			2154   				17				49				2897				2946
2968			2570   				67				167				2734				2901
2969			2573   				67				167				2735				2902
2971			2579   				68				168				2735				2903
2974			2584   				68				170				2736				2906
2992			2163   				18				52				2922				2974
2993			2164   				18				52				2923				2975
2998			2619   				71				189				2738				2927
3025			2650   				75				640				2310				2950
3038			2668   				76				654				2308				2962
3059			2185   				21				58				2980				3038
3061			2187   				21				59				2981				3040
3070			2189   				21				60				2989				3049
3074			2717   				82				689				2303				2992
3085			2001   				4				0				3081				3081
3088			2737   				84				703				2301				3004
3094			2197   				22				62				3010				3072
3101			2754   				85				715				2301				3016
3103			2200   				22				63				3018				3081
3122			2049   				9				13				3100				3113
3133			2205   				24				66				3043				3109
3135			2793   				91				747				2297				3044
3136			2797   				91				748				2297				3045
3137			2798   				91				749				2297				3046
3138			2799   				91				750				2297				3047
3140			2803   				91				752				2297				3049
3143			2810   				92				756				2295				3051
3150			2054   				9				15				3126				3141
3156			2829   				95				768				2293				3061
3157			2831   				95				769				2293				3062
3158			2832   				95				770				2293				3063
3159			2836   				95				771				2293				3064
3168			2855   				97				782				2289				3071
3174			2217   				28				69				3077				3146
3185			2878   				99				800				2286				3086
3188			2882   				99				803				2286				3089
3196			2223   				28				72				3096				3168
3201			2905   				101				814				2286				3100
3214			2921   				102				826				2286				3112
3224			2226   				28				75				3121				3196
3225			2227   				28				75				3122				3197
3226			2061   				10				18				3198				3216
3229			2938   				107				841				2281				3122
3238			2948   				109				850				2279				3129
3241			2952   				109				853				2279				3132
3243			2955   				109				855				2279				3134
3245			2063   				10				19				3216				3235
3247			2960   				110				858				2279				3137
3248			2961   				110				859				2279				3138
3253			2245   				30				80				3143				3223
3271			2254   				31				83				3157				3240
3272			2257   				31				83				3158				3241
3275			2260   				31				85				3159				3244
3276			2070   				10				21				3245				3266
3277			2270   				33				87				3157				3244
3279			2272   				33				88				3158				3246
3280			2077   				11				23				3246				3269
3283			2281   				35				89				3159				3248
3285			2285   				35				90				3160				3250
3287			2287   				35				91				3161				3252
3288			2080   				11				25				3252				3277
3289			2082   				11				25				3253				3278
3293			2292   				38				94				3161				3255
3294			2294   				38				95				3161				3256
3296			2087   				12				27				3257				3284
3297			2300   				41				96				3160				3256
3300			2093   				12				29				3259				3288
3303			2313   				42				100				3161				3261
3306			2317   				42				103				3161				3264
3307			2320   				42				103				3162				3265
3309			2322   				42				104				3163				3267
3311			2095   				12				30				3269				3299
3312			2325   				43				105				3164				3269
3314			2331   				43				108				3163				3271
3315			2332   				43				108				3164				3272
3317			2336   				44				111				3162				3273
3320			2340   				44				114				3162				3276
3322			2345   				44				117				3161				3278
3324			2347   				44				118				3162				3280
3325			2098   				13				31				3281				3312
3327			2356   				45				120				3162				3282
3328			2099   				13				32				3283				3315
3329			2101   				13				32				3284				3316
3330			2361   				47				121				3162				3283
3333			2105   				13				34				3286				3320
3336			2378   				48				124				3164				3288
3338			2382   				48				125				3165				3290
3339			2108   				14				34				3291				3325
3340			2384   				49				124				3167				3291
3345			2394   				49				126				3170				3296
3346			2395   				49				126				3171				3297
3347			2109   				14				35				3298				3333
3348			2110   				14				35				3299				3334
3349			2112   				14				36				3299				3335
3350			2113   				14				36				3300				3336
3351			2396   				51				126				3174				3300
3352			2398   				51				126				3175				3301
3355			2404   				51				127				3177				3304
3356			2407   				51				127				3178				3305
3357			2114   				14				37				3306				3343
3358			2116   				14				37				3307				3344
3359			2408   				52				127				3180				3307
3360			2409   				52				127				3181				3308
3364			2417   				52				129				3183				3312
3366			2421   				53				130				3183				3313
3367			2423   				53				130				3184				3314
3368			2424   				53				131				3184				3315
3371			2428   				53				132				3186				3318
3373			2432   				55				132				3186				3318
3375			2436   				55				134				3186				3320
3380			2445   				56				136				3188				3324
3381			2446   				56				137				3188				3325
3382			2448   				56				137				3189				3326
3383			2449   				56				137				3190				3327
3384			2450   				56				138				3190				3328
3387			2455   				56				139				3192				3331
3392			2465   				57				141				3194				3335
3395			2468   				58				142				3195				3337
3396			2469   				58				142				3196				3338
3403			2483   				59				145				3199				3344
3406			2488   				59				146				3201				3347
3409			2137   				16				43				3350				3393
3415			2501   				60				149				3206				3355
3416			2140   				16				44				3356				3400
3422			2511   				61				154				3207				3361
3423			2512   				61				154				3208				3362
3424			2514   				61				155				3208				3363
3425			2142   				16				45				3364				3409
3427			2519   				62				155				3210				3365
3431			2531   				63				156				3212				3368
3432			2537   				63				158				3211				3369
3434			2546   				64				158				3212				3370
3435			2548   				64				158				3213				3371
3437			2551   				64				159				3214				3373
3438			2147   				17				47				3374				3421
3440			2557   				65				160				3215				3375
3443			2149   				17				48				3378				3426
3444			2150   				17				48				3379				3427
3448			2569   				67				165				3216				3381
3449			2577   				68				167				3214				3381
3452			2587   				68				171				3213				3384
3456			2591   				69				174				3213				3387
3457			2593   				69				175				3213				3388
3463			2603   				70				180				3213				3393
3470			2615   				71				187				3212				3399
3471			2616   				71				188				3212				3400
3472			2617   				71				189				3212				3401
3473			2620   				71				190				3212				3402
3478			2037   				8				10				3460				3470
3483			2629   				73				625				2785				3410
3486			2635   				73				628				2785				3413
3487			2168   				19				54				3414				3468
3493			2645   				74				634				2785				3419
3505			2660   				76				648				2781				3429
3510			2667   				76				653				2781				3434
3516			2678   				77				661				2778				3439
3521			2180   				21				56				3444				3500
3525			2687   				78				670				2777				3447
3526			2689   				78				671				2777				3448
3532			2696   				81				678				2773				3451
3536			2704   				81				682				2773				3455
3537			2706   				81				683				2773				3456
3539			2188   				21				60				3458				3518
3541			2713   				82				687				2772				3459
3542			2716   				82				688				2772				3460
3547			2722   				83				694				2770				3464
3548			2723   				83				695				2770				3465
3553			2734   				84				701				2768				3469
3554			2736   				84				702				2768				3470
3556			2740   				84				705				2767				3472
3560			2744   				85				709				2766				3475
3561			2745   				85				710				2766				3476
3566			2198   				22				63				3481				3544
3568			2202   				22				64				3482				3546
3571			2759   				87				720				2764				3484
3572			2760   				87				721				2764				3485
3573			2763   				87				722				2764				3486
3576			2767   				87				725				2764				3489
3577			2203   				22				65				3490				3555
3580			2775   				88				729				2763				3492
3581			2776   				88				730				2763				3493
3590			2785   				89				740				2761				3501
3591			2788   				89				741				2761				3502
3595			2792   				91				746				2758				3504
3596			2800   				91				751				2754				3505
3598			2806   				92				755				2751				3506
3599			2811   				92				757				2750				3507
3602			2212   				24				68				3510				3578
3603			2213   				24				68				3511				3579
3607			2820   				94				764				2749				3513
3609			2826   				94				766				2749				3515
3610			2841   				96				773				2741				3514
3612			2845   				96				775				2741				3516
3616			2852   				97				780				2739				3519
3617			2853   				97				781				2739				3520
3627			2870   				98				793				2736				3529
3631			2876   				99				798				2734				3532
3633			2879   				99				801				2733				3534
3635			2885   				99				804				2732				3536
3636			2886   				99				805				2732				3537
3641			2222   				28				72				3541				3613
3643			2901   				101				811				2731				3542
3645			2904   				101				813				2731				3544
3648			2909   				101				817				2730				3547
3651			2913   				102				819				2730				3549
3653			2916   				102				821				2730				3551
3655			2918   				102				823				2730				3553
3656			2919   				102				824				2730				3554
3670			2940   				107				843				2720				3563
3675			2233   				29				78				3568				3646
3676			2236   				29				78				3569				3647
3679			2953   				109				854				2716				3570
3681			2242   				30				79				3572				3651
3682			2962   				110				860				2712				3572
3684			2966   				110				862				2712				3574
3685			2967   				110				863				2712				3575
3686			2972   				111				865				2710				3575
3687			2977   				111				866				2710				3576
3689			2248   				30				81				3578				3659
3694			2989   				112				872				2710				3582
3695			2990   				112				873				2710				3583
3696			2991   				112				874				2710				3584
3699			2995   				112				877				2710				3587
3703			2258   				31				84				3588				3672
3705			2271   				33				87				3585				3672
3706			2278   				35				88				3583				3671
3707			2279   				35				89				3583				3672
3709			2286   				35				91				3583				3674
3710			2288   				38				93				3579				3672
3711			2289   				38				93				3580				3673
3712			2290   				38				94				3580				3674
3713			2296   				38				95				3580				3675
3714			2302   				41				96				3577				3673
3715			2307   				41				99				3575				3674
3716			2094   				12				29				3675				3704
3718			2314   				42				101				3575				3676
3719			2316   				42				101				3576				3677
3721			2323   				42				105				3574				3679
3722			2330   				43				106				3573				3679
3723			2334   				43				109				3571				3680
3725			2339   				44				114				3567				3681
3726			2341   				44				115				3567				3682
3728			2354   				45				120				3563				3683
3733			2379   				48				124				3561				3685
3735			2387   				49				125				3561				3686
3736			2389   				49				125				3562				3687
3737			2390   				49				125				3563				3688
3738			2399   				51				126				3561				3687
3740			2410   				52				128				3560				3688
3741			2411   				52				128				3561				3689
3743			2420   				53				130				3560				3690
3749			2440   				55				135				3559				3694
3750			2442   				55				135				3560				3695
3754			2456   				57				139				3558				3697
3755			2460   				57				140				3558				3698
3756			2462   				57				140				3559				3699
3758			2466   				57				142				3559				3701
3760			2470   				58				142				3560				3702
3763			2478   				58				143				3562				3705
3765			2481   				59				145				3561				3706
3766			2485   				59				146				3561				3707
3767			2486   				59				146				3562				3708
3768			2489   				59				147				3562				3709
3770			2139   				16				43				3711				3754
3771			2492   				60				148				3563				3711
3772			2495   				60				148				3564				3712
3773			2496   				60				148				3565				3713
3774			2500   				60				149				3565				3714
3775			2141   				16				44				3715				3759
3780			2516   				62				154				3564				3718
3781			2521   				62				156				3563				3719
3782			2525   				62				156				3564				3720
3784			2544   				64				158				3562				3720
3785			2549   				64				158				3563				3721
3787			2558   				65				160				3562				3722
3789			2564   				67				164				3558				3722
3790			2567   				67				164				3559				3723
3792			2582   				68				169				3555				3724
3794			2160   				18				50				3726				3776
3795			2589   				69				172				3554				3726
3798			2597   				69				176				3553				3729
3799			2599   				69				177				3553				3730
3800			2162   				18				51				3731				3782
3801			2601   				70				179				3552				3731
3802			2604   				70				181				3551				3732
3804			2606   				70				183				3551				3734
3806			2610   				70				186				3550				3736
3807			2612   				71				187				3549				3736
3811			2165   				18				53				3740				3793
3813			2625   				73				622				3118				3740
3814			2626   				73				623				3118				3741
3815			2628   				73				624				3118				3742
3816			2631   				73				626				3117				3743
3817			2634   				73				627				3117				3744
3818			2169   				19				54				3745				3799
3820			2638   				74				631				3115				3746
3821			2639   				74				632				3115				3747
3822			2641   				74				633				3115				3748
3824			2647   				74				636				3114				3750
3825			2170   				19				55				3751				3806
3827			2649   				75				639				3113				3752
3828			2651   				75				641				3112				3753
3832			2657   				75				645				3112				3757
3833			2659   				75				646				3112				3758
3834			2662   				76				649				3109				3758
3835			2663   				76				650				3109				3759
3836			2664   				76				651				3109				3760
3838			2669   				76				655				3107				3762
3839			2670   				76				656				3107				3763
3843			2679   				77				662				3104				3766
3844			2680   				77				663				3104				3767
3845			2682   				77				664				3104				3768
3847			2684   				78				667				3102				3769
3848			2685   				78				668				3102				3770
3853			2182   				21				57				3775				3832
3854			2186   				21				59				3774				3833
3861			2190   				21				61				3779				3840
3862			2720   				83				692				3087				3779
3863			2721   				83				693				3087				3780
3864			2724   				83				696				3085				3781
3867			2729   				83				699				3085				3784
3868			2739   				84				704				3080				3784
3874			2750   				85				713				3076				3789
3875			2753   				85				714				3076				3790
3876			2201   				22				64				3790				3854
3880			2765   				87				724				3069				3793
3883			2777   				88				731				3064				3795
3884			2778   				88				732				3064				3796
3886			2780   				89				735				3062				3797
3888			2782   				89				737				3062				3799
3890			2784   				89				739				3062				3801
3894			2805   				92				754				3048				3802
3897			2215   				24				69				3804				3873
3898			2816   				94				762				3042				3804
3899			2817   				94				763				3042				3805
3900			2823   				94				765				3041				3806
3901			2842   				96				774				3031				3805
3903			2847   				96				777				3030				3807
3904			2848   				96				778				3030				3808
3906			2857   				97				784				3025				3809
3907			2858   				97				785				3025				3810
3910			2864   				98				789				3023				3812
3911			2866   				98				790				3023				3813
3912			2868   				98				791				3023				3814
3913			2869   				98				792				3023				3815
3917			2877   				99				799				3019				3818
3918			2881   				99				802				3017				3819
3920			2894   				100				806				3014				3820
3922			2898   				100				808				3014				3822
3923			2900   				101				810				3012				3822
3924			2902   				101				812				3011				3823
3926			2908   				101				816				3009				3825
3927			2910   				101				818				3008				3826
3932			2922   				102				827				3003				3830
3933			2923   				102				828				3003				3831
3935			2925   				103				831				3001				3832
3940			2935   				103				836				3001				3837
3942			2937   				107				840				2995				3835
3943			2939   				107				842				2994				3836
3946			2946   				107				846				2993				3839
3947			2947   				107				847				2993				3840
3948			2949   				109				851				2988				3839
3949			2950   				109				852				2988				3840
3950			2958   				109				856				2985				3841
3951			2964   				110				861				2980				3841
3952			2981   				111				867				2974				3841
3953			2249   				30				81				3842				3923
3954			2984   				112				869				2973				3842
3955			2986   				112				870				2973				3843
3960			2997   				113				880				2967				3847
3962			2259   				31				84				3847				3931
3963			2283   				35				90				3838				3928
3964			2312   				42				100				3822				3922
3965			2321   				42				104				3819				3923
3966			2338   				44				111				3811				3922
3967			2346   				44				118				3805				3923
3968			2363   				47				122				3799				3921
3969			2366   				47				122				3800				3922
3970			2375   				48				123				3799				3922
3971			2376   				48				123				3800				3923
3972			2386   				49				125				3798				3923
3973			2401   				51				126				3796				3922
3974			2412   				52				128				3794				3922
3975			2425   				53				132				3790				3922
3976			2427   				53				132				3791				3923
3977			2430   				53				133				3791				3924
3978			2433   				55				132				3791				3923
3979			2438   				55				134				3790				3924
3980			2444   				56				135				3789				3924
3981			2451   				56				139				3786				3925
3982			2454   				56				139				3787				3926
3983			2463   				57				141				3785				3926
3984			2467   				57				142				3785				3927
3985			2472   				58				143				3784				3927
3986			2475   				58				143				3785				3928
3987			2480   				59				144				3784				3928
3988			2490   				59				147				3782				3929
3989			2504   				61				150				3778				3928
3990			2506   				61				150				3779				3929
3991			2507   				61				151				3779				3930
3992			2508   				61				152				3779				3931
3993			2527   				62				156				3775				3931
3994			2553   				65				160				3769				3929
3995			2563   				65				162				3768				3930
3996			2568   				67				164				3765				3929
3997			2583   				68				169				3760				3929
3998			2590   				69				173				3756				3929
3999			2594   				69				176				3754				3930
4000			2605   				70				182				3748				3930
4001			2608   				70				183				3748				3931
4002			2621   				71				190				3741				3931
4003			2622   				71				191				3741				3932
4004			2623   				71				191				3742				3933
4005			2624   				73				621				3311				3932
4007			2646   				74				635				3298				3933
4009			2653   				75				642				3292				3934
4010			2654   				75				643				3292				3935
4011			2655   				75				644				3292				3936
4012			2665   				76				652				3284				3936
4014			2673   				77				659				3278				3937
4015			2675   				77				660				3278				3938
4016			2683   				77				665				3274				3939
4017			2686   				78				669				3270				3939
4018			2692   				78				672				3268				3940
4020			2695   				78				674				3268				3942
4021			2698   				81				679				3261				3940
4023			2703   				81				681				3261				3942
4024			2707   				81				684				3259				3943
4026			2718   				82				690				3254				3944
4027			2726   				83				697				3247				3944
4028			2727   				83				698				3247				3945
4029			2741   				84				706				3239				3945
4030			2742   				84				707				3239				3946
4031			2195   				22				62				3947				4009
4032			2746   				85				711				3236				3947
4033			2748   				85				712				3236				3948
4035			2758   				87				719				3229				3948
4036			2764   				87				723				3226				3949
4037			2769   				88				727				3222				3949
4038			2770   				88				728				3222				3950
4039			2779   				88				733				3218				3951
4040			2781   				89				736				3215				3951
4042			2790   				89				742				3211				3953
4043			2791   				89				743				3211				3954
4044			2204   				24				65				3955				4020
4046			2815   				92				759				3195				3954
4047			2846   				96				776				3175				3951
4048			2856   				97				783				3168				3951
4049			2860   				97				786				3166				3952
4050			2863   				97				787				3166				3953
4052			2873   				98				795				3159				3954
4055			2895   				100				807				3148				3955
4056			2906   				101				815				3140				3955
4057			2912   				102				818				3137				3955
4058			2915   				102				820				3136				3956
4061			2924   				103				830				3128				3958
4062			2927   				103				832				3127				3959
4063			2929   				103				833				3127				3960
4064			2931   				103				834				3127				3961
4065			2934   				103				835				3127				3962
4066			2936   				107				839				3120				3959
4067			2941   				107				844				3116				3960
4068			2942   				107				845				3116				3961
4069			2988   				112				871				3086				3957
4070			2992   				112				875				3083				3958
4071			2993   				112				876				3083				3959
4072			2996   				113				879				3080				3959
4074			2636   				74				630				3370				4000
4075			2648   				75				638				3362				4000
4076			2672   				77				658				3341				3999
4077			2694   				78				673				3326				3999
4078			2702   				81				680				3317				3997
4079			2710   				82				686				3311				3997
4080			2757   				87				718				3275				3993
4081			2783   				89				738				3254				3992
4082			2812   				92				758				3232				3990
4083			2872   				98				794				3191				3985
4084			2875   				98				796				3190				3986
4085			2889   				100				805				3180				3985
4086			2917   				102				822				3162				3984
4087			2920   				102				825				3160				3985
4088			2998   				113				881				3094				3975

Battle Result : Win
			Earth Forces
 ES count : 0		ET count : 179		EG count : 60
	ES_Destructed/ ES_Total = 100%
	ET_Destructed/ ET_Total = 49.2918%
	EG_Destructed/ EG_Total = 9.09091%
	ES_Infected_Healed/ ES_Total = 98.7698%

Total_Destructed/ Total units = 75.8097%

	Average Df, Dd, Db respectively = 254.999, 375.55, 518.806

			Alien Forces
 AS count : 0		AD count : 0		AM count : 0
	AS_Destructed/ AS_Total = 100%
	AD_Destructed/ AD_Total = 100%
	AM_Destructed/ AM_Total = 100%

Total_Destructed/ Total units = 100%

	Average Df, Dd, Db respectively = 575.753, 507.814, 2258.66
